Name,Address,City,Phone,Active,YelpID,BeanTags,StoreTags
Abraço,86 East Seventh Street,Manhattan,,Yes,abraço-new-york-2,,
Au Breve,51 Cooper Square,Manhattan,(212) 533-1864,Yes,au-breve-espresso-new-york,,
Bakeri,150 Wythe Avenue,Brooklyn,(718) 388-8037,Yes,bakeri-brooklyn,,
Bedford Hill,343 Franklin Avenue,Brooklyn,(718) 636-7650,Yes,bedford-hill-coffee-bar-brooklyn,,
Birch Coffee,5 East 27th Street,Manhattan,(212) 686-1444,Yes,birch-coffee-new-york,,
Black Brick,300 Bedford Avenue,Brooklyn,(718) 384-0075,Yes,black-brick-brooklyn,,
Blue Bottle Coffee (Chelsea),450 West 15th Street,Manhattan,,Yes,blue-bottle-coffee-new-york-3,,
Blue Bottle Coffee (High Line),Chelsea Market Passage on the High Line,Manhattan,,Yes,blue-bottle-coffee-new-york,,
Blue Bottle Coffee (Rockefeller Center),Rockefeller Center (Concourse Level),Manhattan,,Yes,blue-bottle-coffee-new-york-2,,
Blue Bottle Coffee (Williamsburg),160 Berry Street,Brooklyn,(718) 387-4160,Yes,blue-bottle-coffee-brooklyn-2,,
Bluebird Coffee Shop,72 East First Street,Manhattan,(212) 260-1879,Yes,bluebird-coffee-shop-new-york,,
Bowery Coffee,89 East Houston Street,Manhattan,(212) 966-5162,Yes,bowery-coffee-manhattan-2,,
Breukelen Coffee House,764A Franklin Avenue,Brooklyn,(718) 789-7070,Yes,breukelen-coffee-house-brooklyn,,
Brown Café,61 Hester Street,Manhattan,(212) 477-2427,Yes,brown-cafe-new-york,,
Caffé Vita,124 Ludlow Street,Manhattan,(212) 260-8482,Yes,caffé-vita-new-york,,
Café Grumpy (Chelsea),224 West 20th Street,Manhattan,(212) 255-5511,Yes,café-grumpy-new-york-3,,
Café Grumpy (Greenpoint),193 Meserole Avenue,Brooklyn,(718) 349-7623,Yes,café-grumpy-brooklyn-3,,
Café Grumpy (Lower East Side),13 Essex Street,Manhattan,,Yes,cafe-grumpy-manhattan,,
Café Grumpy (Park Slope),383 Seventh Avenue,Brooklyn,(718) 499-4404,Yes,café-grumpy-brooklyn-4,,
Café Integral,135 Grand Street,Manhattan,(646) 801-5747,Yes,café-integral-new-york,,
Café Madeline,1603 Cortelyou Road,Brooklyn,(718) 941-4020,Yes,cafe-madeline-brooklyn,,
Café Pedlar,210 Court Street,Brooklyn,(718) 855-7129,Yes,café-pedlar-brooklyn-2,,
Cubana Social,70 North Sixth Street,New York City,(718) 782-3334,Yes,cubana-socíal-brooklyn-2,,
Culture Espresso Bar,72 West 38th Street,Manhattan,(212) 302-0200,Yes,culture-espresso-bar-new-york,,
Eleven Madison Park,11 Madison Avenue,Manhattan,(212) 889-0905,Yes,eleven-madison-park-new-york,,
Everyman Espresso,136 East 13th Street,Manhattan,(212) 533-0524,Yes,everyman-espresso-new-york,,
Fort Defiance,365 Van Brunt Street,Brooklyn,(347) 453-6672,Yes,fort-defiance-brooklyn,,
Forty Weight Coffee Roasters at Sweet Wolf’s,492 Sixth Avenue,Brooklyn,(845) 642-1580,Yes,forty-weight-cafe-brooklyn,,
Gasoline Alley Coffee,331 Lafayette Street,Manhattan,(212) 933-0113,Yes,gasoline-alley-coffee-manhattan,,
Gimme! Coffee (NoLIta),228 Mott Street,Manhattan,(212) 226-4011,Yes,gimme-coffee-new-york,,
Gimme! Coffee (Williamsburg East),495 Lorimer Street,Brooklyn,(718) 388-7771,Yes,gimme-coffee-brooklyn,,
Gimme! Coffee (Williamsburg West),107 Roebling Street,Brooklyn,(718) 388-4595,Yes,gimme-coffee-brooklyn-2,,
Glass Shop,766 Classon Avenue,Brooklyn,(347) 297-2399,Yes,glass-shop-brooklyn,,
Greene Grape Annex,680 Fulton Street,Brookyln,(718) 233-2700,Yes,greene-grape-annex-brooklyn,,
Ground Support,399 West Broadway,Manhattan,(212) 219-8722,Yes,ground-support-new-york,,
Hungry Ghost,253 Flatbush Avenue,Brooklyn,(718) 483-8666,Yes,hungry-ghost-brooklyn,,
Indian Road Cafe & Market,600 West 218th Street,Manhattan,(212) 942-7451,Yes,indian-road-cafe-new-york,,
Iris Café,20 Columbia Place,Brooklyn,(718) 722-7395,Yes,iris-café-brooklyn-3,,
Joe (Chelsea),405 West 23rd Street,Manhattan,(212) 206-0669,Yes,joe-the-art-of-coffee-new-york-9,,
Joe (Downtown Brooklyn),332 Flatbush Avenue Extension (in Dekalb Market),Brooklyn,,Yes,joe-coffee-brooklyn,,
Joe (Grand Central Terminal),89 East 42nd Street (in Grand Central Terminal),Manhattan,(212) 661-8580,Yes,joe-the-art-of-coffee-new-york-4,,
Joe (Morningside Heights),550 West 120th Street (second floor),Manhattan,,Yes,joe-coffee-manhattan-2,,
Joe (Union Square),9 East 13th Street,Manhattan,(212) 924-7400,Yes,joe-the-art-of-coffee-new-york-3,,
Joe (Upper East Side),1045 Lexington Avenue,Manhattan,(212) 988-2500,Yes,joe-the-art-of-coffee-manhattan-3,,
Joe (Upper West Side),514 Columbus Avenue,Manhattan,(212) 875-0100,Yes,joe-new-york-2,,
Joe (West Village),141 Waverly Place,Manhattan,(212) 924-6750,Yes,joe-the-art-of-coffee-new-york-6,,
Joe Pro Shop (Chelsea),131 West 21st Street,Manhattan,(212) 924-7400,Yes,joe-pro-shop-and-headequarters-new-york,,
Kaffe 1668 (TriBeCa North),401 Greenwich Street,Manhattan,,Yes,kaffe-1668-new-york,,
Kaffe 1668 (TriBeCa South),275 Greenwich Street,Manhattan,(212) 693-3750,Yes,kaffe-1668-new-york-3,,
Kava Cafe,803 Washington Street,Manhattan,(212) 255-7495,Yes,kava-cafe-new-york,,
Kinfolk Studios,90 Wythe Avenue,Brooklyn,(347) 799-2946,Yes,kinfolk-studios-brooklyn,,
Kávé Espresso Bar and Event Space,1087 Flushing Avenue,Brooklyn,(718) 417-1616,Yes,kave-brooklyn,,
La Colombe Torrefaction (NoHo),400 Lafayette Street,Manhattan,(800) 563-0860,Yes,la-colombe-torrefaction-manhattan,direct:fair:organic,
La Colombe Torrefaction (SoHo),270 Lafayette Street,Manhattan,(212) 625-1717,Yes,la-colombe-new-york-2,direct:fair:organic,
La Colombe Torrefaction (TriBeCa),319 Church Street,Manhattan,(212) 343-1515,Yes,la-colombe-torrefaction-new-york,direct:fair:organic,
Little Skips,941 Willoughby Avenue,Brooklyn,(718) 484-0980,Yes,little-skips-brooklyn,,
Lucid Café,311 Lexington Avenue,Manhattan,(212) 867-3490,Yes,lucid-café-new-york-2,,
Maialino,Gramercy Park Hotel (2 Lexington Avenue),Manhattan,(212) 777-2410,Yes,maialino-new-york,,
Marlow & Sons,81 Broadway,Brooklyn,(718) 384-1441,Yes,marlow-and-sons-brooklyn-2,,
Milk Bar,620 Vanderbilt Avenue,Brooklyn,(718) 230-0844,Yes,milk-bar-brooklyn,,
Moomah (CLOSED),161 Hudson Street,Manhattan,(212) 226-0345,No,moomah-new-york,,
Ninth Street Espresso (Alphabet City),700 East Ninth Street,Manhattan,(212) 358-9225,Yes,ninth-street-espresso-new-york-3,,
Ninth Street Espresso (Chelsea),75 Ninth Avenue (In the Chelsea Market),Manhattan,(212) 228-2930,Yes,ninth-street-espresso-new-york-6,,
Ninth Street Espresso (Tompkins Square Park),341 East 10th Street,Manhattan,(212) 777-3508,Yes,ninth-street-espresso-new-york-7,,
Nolita Mart & Espresso Bar,156 Mott Street,Manhattan,(212) 966-8883,Yes,nolita-mart-and-espresso-bar-new-york,,
Oslo Coffee Roasters (Upper East Side),422 East 75th Street,New York City,(718) 782-0332,Yes,oslo-coffee-roasters-manhattan,,
Oslo Coffee Roasters (Williamsburg Northside),133 Roebling Street,Brooklyn,(718) 782-0332,Yes,oslo-coffee-roasters-brooklyn,,
Oslo Coffee Roasters (Williamsburg Southside),328 Bedford Avenue,Brooklyn,(718) 782-0332,Yes,oslo-coffee-roasters-brooklyn-3,,
Ost Café,441 East 12th Street,Manhattan,(212) 477-5600,Yes,ost-café-new-york-2,,
Ports,251 West 23rd Street,Manhattan,(646) 290-6151,Yes,ports-coffee-tea-co-manhattan,,
Prima,58 East First Street,Manhattan,(646) 559-4823,Yes,prima-manhattan-2,,
Prodigy Coffee,33 Carmine Street,Manhattan,(212) 414-4142,Yes,prodigy-coffee-new-york-2,,
Pushcart Coffee,221 East Broadway,Manhattan,(646) 398-7415,Yes,pushcart-coffee-manhattan,,
Qathra Cafe,1112 Cortelyou Road,Brooklyn,(718) 484-3322,Yes,qathra-brooklyn,,
Reynards,80 Wythe Avenue,Brooklyn,,Yes,reynards-new-york,,
Rize Coffee,122 East 42nd Street,New York City,(212) 663-7493,Yes,rize-coffee-new-york,,
Saraghina,435 Halsey Street,Brooklyn,(718) 574-0010,Yes,saraghina-brooklyn,,
Saturdays Surf,31 Crosby Street,Manhattan,(212) 966-7875,Yes,saturdays-surf-nyc-new-york,,
Sit & Wonder,688 Washington Avenue,Brooklyn,(718) 622-0299,Yes,sit-and-wonder-brooklyn,,
Southside Coffee,652 Sixth Avenue,Brooklyn,(347) 599-0887,Yes,southside-coffee-brooklyn,,
Steeplechase Coffee,3013 Fort Hamilton Parkway,Brooklyn,(347) 799-2640,Yes,steeplechase-coffee-shop-brooklyn,,
Stumptown Coffee Roasters,18 West 29th Street,Manhattan,(212) 679-2222,Yes,stumptown-coffee-roasters-new-york,stumptown,
Swallow Cafe,49 Bogart Street,Brooklyn,,Yes,swallow-brooklyn-2,,
Sweetleaf (Long Island City),10-93 Jackson Avenue,Queens,(917) 832-6726,Yes,sweetleaf-long-island-city,,
Sweetleaf (Williamsburg),135 Kent Avenue,Brooklyn,,Yes,sweetleaf-new-york,,
Tar Pit Cafe,135A Woodpoint Road,Brooklyn,(646) 469-9494,Yes,tar-pit-brooklyn,,
The Queens Kickshaw,40-17 Broadway,Queens,(718) 777-0913,Yes,the-queens-kickshaw-astoria,,
The Randolph at Broome,349 Broome Street,Manhattan,(212) 274-0667,Yes,the-randolph-at-broome-new-york,,
The Smile,26 Bond Street,Manhattan,(646) 329-5836,Yes,the-smile-new-york,,
Think Coffee (Greenwich Village),248 Mercer Street,Manhattan,(212) 228-6226,Yes,think-coffee-new-york-2,,
Think Coffee (New York University),728 Broadway (in the NYU Bookstore),Manhattan,,Yes,think-coffee-manhattan-2,,
Think Coffee (Union Square),123 Fourth Avenue,Manhattan,,Yes,think-coffee-new-york-3,,
Think Coffee (West Village),73 Eighth Avenue,Manhattan,,Yes,think-coffee-manhattan-4,,
Think Coffee (the Bowery),1 Bleecker Street,Manhattan,(212) 533-3366,Yes,think-coffee-manhattan-3,,
Third Rail Coffee,240 Sullivan Street,Manhattan,,Yes,third-rail-coffee-new-york,,
Toby's Estate Coffee,125 North Sixth Street,Brooklyn,(347) 457-6160,Yes,tobys-estate-brooklyn-2,,
Untitled,945 Madison Avenue,New York City,(212) 570-3670,Yes,untitled-new-york-2,,
Upright Coffee,860 Manhattan Avenue,Brooklyn,(718) 215-9910,Yes,upright-coffee-brooklyn,,
Variety Coffee and Tea (Greenpoint),145 Driggs Avenue,Brooklyn,,Yes,variety-brooklyn,,
Venticinque Coffee,162 Fifth Avenue,Brooklyn,,Yes,venticinque-brooklyn,,
WTF Coffee Lab,47 Willoughby Avenue,Brooklyn,,Yes,wtf-coffee-lab-brooklyn,,
Whirlybird,254 South Second Street,Brooklyn,,Yes,whirlybird-brooklyn,,
caffébene,1611 Broadway,Manhattan,,Yes,caffe-bene-new-york,,
Stone Street Coffee Company,132 9th Ave,Manhattan,(347) 335-0751,Yes,stone-street-coffee-company-manhattan,,
MUD,307 E 9th St,Manhattan,(212) 228-9074,Yes,mud-new-york-3,,
Diesel Cafe,257 Elm St,Somerville,(617) 629-8717,Yes,diesel-cafe-somerville,fair:stumptown,
Crema Cafe,27 Brattle St,Cambridge,(617) 876-2700,Yes,crema-cafe-cambridge-2,,
